,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,-0.05,-0.02,1.04,559,Standing
2,-0.05,-0.0,1.02,599,Standing
3,-0.06,-0.02,1.04,641,Standing
4,-0.04,-0.02,1.0,681,Standing
5,-0.04,-0.02,1.04,722,Standing
6,-0.05,-0.02,1.01,762,Standing
7,-0.05,-0.02,1.03,803,Standing
8,-0.05,-0.02,1.01,844,Standing
9,-0.05,-0.01,1.02,886,Standing
10,-0.05,-0.0,1.0,927,Standing
11,-0.06,-0.0,1.04,968,Standing
12,-0.05,-0.02,0.99,1009,Standing
13,-0.06,-0.01,1.03,1049,Standing
14,-0.05,-0.02,1.02,1089,Standing
15,-0.05,-0.02,1.01,1129,Standing
16,-0.05,-0.01,1.02,1170,Standing
17,-0.05,-0.0,1.04,1210,Standing
18,-0.05,-0.01,1.0,1250,Standing
19,-0.05,-0.02,1.03,1291,Standing
20,-0.05,-0.02,1.02,1331,Standing
21,-0.05,-0.02,1.01,1371,Standing
22,-0.05,-0.01,1.02,1412,Standing
23,-0.05,-0.02,1.01,1452,Standing
24,-0.05,-0.02,1.02,1494,Standing
25,-0.05,-0.01,1.02,1534,Standing
26,-0.05,-0.01,1.02,1574,Standing
27,-0.05,-0.01,1.02,1614,Standing
28,-0.05,-0.01,1.03,1654,Standing
29,-0.05,-0.02,1.02,1694,Standing
30,-0.05,-0.01,1.03,1736,Standing
31,-0.05,-0.01,1.01,1777,Standing
32,-0.05,-0.02,1.02,1817,Standing
33,-0.05,-0.02,1.02,1857,Standing
34,-0.05,-0.01,1.01,1897,Standing
35,0.0,0.0,0.0,520,Standing
36,0.21,-0.08,1.4,560,Standing
37,0.05,-0.25,0.78,601,Standing
38,0.34,0.01,1.11,642,Standing
39,0.32,-0.43,0.82,683,Standing
40,0.62,-0.2,0.53,723,Standing
41,0.65,-0.18,0.9,764,Standing
42,0.65,-0.25,0.64,805,Standing
43,0.67,-0.32,0.57,846,Standing
44,0.74,-0.12,0.72,887,Standing
45,0.68,-0.44,0.34,928,Standing
46,0.8,-0.06,0.61,969,Standing
47,0.74,-0.14,0.43,1010,Standing
