,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.86,-0.51,0.04,559,Standing
2,0.86,-0.52,0.04,599,Standing
3,0.86,-0.51,0.03,640,Standing
4,0.86,-0.51,0.03,680,Standing
5,0.86,-0.5,0.04,721,Standing
6,0.86,-0.51,0.04,761,Standing
7,0.86,-0.51,0.04,802,Standing
8,0.84,-0.52,0.04,843,Standing
9,0.86,-0.52,0.02,884,Standing
10,0.86,-0.54,0.03,925,Standing
11,0.87,-0.54,0.04,966,Standing
12,0.86,-0.5,0.05,1007,Standing
13,0.86,-0.49,0.04,1048,Standing
14,0.86,-0.5,0.01,1089,Standing
15,0.87,-0.5,-0.01,1129,Standing
16,0.86,-0.5,-0.02,1170,Standing
17,0.87,-0.48,-0.02,1210,Standing
18,0.88,-0.48,-0.01,1251,Standing
19,0.88,-0.48,-0.01,1291,Standing
20,0.88,-0.48,-0.0,1331,Standing
21,0.87,-0.48,-0.02,1372,Standing
22,0.87,-0.48,-0.02,1412,Standing
23,0.87,-0.48,-0.02,1453,Standing
24,0.89,-0.48,-0.02,1495,Standing
25,0.88,-0.48,-0.0,1537,Standing
26,0.87,-0.49,-0.01,1577,Standing
27,0.88,-0.49,-0.01,1617,Standing
28,0.89,-0.49,-0.01,1657,Standing
29,0.88,-0.49,-0.01,1697,Standing
30,0.87,-0.49,0.0,1738,Standing
31,0.87,-0.49,-0.0,1778,Standing
32,0.89,-0.49,-0.01,1819,Standing
33,0.89,-0.48,-0.0,1859,Standing
34,0.89,-0.47,-0.01,1899,Standing
35,0.86,-0.47,-0.01,1939,Standing
36,0.88,-0.48,-0.01,1980,Standing
37,0.88,-0.5,0.01,2020,Standing
38,0.88,-0.5,0.01,2061,Standing
39,0.86,-0.5,0.02,2101,Standing
40,0.86,-0.5,0.03,2142,Standing
41,0.86,-0.5,0.04,2182,Standing
42,0.86,-0.51,0.03,2223,Standing
43,0.86,-0.51,0.04,2264,Standing
44,0.87,-0.5,0.04,2304,Standing
45,0.86,-0.5,0.04,2344,Standing
46,0.86,-0.51,0.03,2386,Standing
47,0.86,-0.5,0.02,2427,Standing
48,0.86,-0.5,0.02,2468,Standing
49,0.86,-0.5,0.02,2508,Standing
50,0.86,-0.5,0.02,2549,Standing
51,0.86,-0.51,0.03,2590,Standing
52,0.87,-0.5,0.03,2630,Standing
53,0.86,-0.51,0.03,2671,Standing
54,0.86,-0.5,0.03,2712,Standing
55,0.86,-0.5,0.02,2752,Standing
56,0.86,-0.5,0.03,2793,Standing
57,0.86,-0.5,0.03,2833,Standing
58,0.86,-0.5,0.04,2874,Standing
59,0.87,-0.5,0.02,2915,Standing
60,0.88,-0.5,0.01,2955,Standing
61,0.89,-0.52,0.02,2996,Standing
62,0.88,-0.5,0.04,3037,Standing
63,0.87,-0.53,0.03,3077,Standing
64,0.86,-0.52,0.02,3118,Standing
65,0.84,-0.52,0.02,3159,Standing
66,0.84,-0.51,0.04,3201,Standing
67,0.86,-0.5,0.05,3241,Standing
68,0.86,-0.49,0.05,3283,Standing
69,0.84,-0.49,0.05,3324,Standing
70,0.82,-0.5,0.04,3365,Standing
71,0.84,-0.51,0.06,3405,Standing
72,0.9,-0.51,0.07,3446,Standing
73,0.91,-0.52,0.07,3487,Standing
74,0.89,-0.49,0.04,3527,Standing
75,0.86,-0.48,0.01,3568,Standing
76,0.87,-0.48,0.0,3609,Standing
77,0.88,-0.5,-0.0,3649,Standing
78,0.86,-0.49,-0.01,3691,Standing
79,0.87,-0.47,-0.01,3732,Standing
80,0.9,-0.47,-0.0,3772,Standing
81,0.89,-0.46,0.0,3812,Standing
82,0.87,-0.46,-0.0,3853,Standing
83,0.89,-0.46,-0.02,3893,Standing
84,0.88,-0.47,-0.02,3935,Standing
85,0.91,-0.48,-0.04,3976,Standing
86,0.9,-0.46,-0.01,4016,Standing
87,0.88,-0.46,0.01,4056,Standing
88,0.89,-0.47,-0.02,4097,Standing
89,0.89,-0.48,-0.02,4139,Standing
90,0.9,-0.46,-0.05,4180,Standing
91,0.91,-0.45,-0.04,4221,Standing
92,0.9,-0.45,-0.04,4261,Standing
93,0.86,-0.46,-0.02,4301,Standing
94,0.9,-0.45,-0.01,4343,Standing
95,0.92,-0.44,-0.04,4384,Standing
96,0.89,-0.44,0.02,4424,Standing
97,0.88,-0.46,0.01,4466,Standing
