,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.83,0.52,0.28,559,Standing
2,0.78,0.56,0.27,599,Standing
3,0.83,0.55,0.26,642,Standing
4,0.85,0.47,0.28,684,Standing
5,0.79,0.48,0.25,724,Standing
6,0.97,0.8,0.52,764,Standing
7,1.14,0.55,0.68,805,Standing
8,1.75,0.57,0.38,846,Standing
9,1.98,0.23,0.12,886,Standing
10,0.62,0.36,-0.37,927,Standing
11,-0.93,-0.07,-0.19,968,Standing
12,-0.94,0.29,0.64,1009,Standing
13,-0.09,0.43,0.65,1049,Standing
14,0.79,0.41,2.3,1090,Standing
15,1.09,0.68,1.88,1131,Standing
16,0.79,0.65,1.13,1172,Standing
17,0.21,0.3,0.5,1213,Standing
18,0.1,0.06,0.81,1254,Standing
19,-0.01,0.18,0.62,1295,Standing
20,-0.0,0.31,0.97,1337,Standing
21,0.18,0.51,1.06,1378,Standing
22,0.59,0.16,1.15,1419,Standing
23,0.4,-0.09,0.98,1460,Standing
24,0.07,-0.17,0.93,1501,Standing
25,-0.04,-0.12,0.66,1542,Standing
26,-0.05,0.05,0.3,1582,Standing
27,0.18,0.12,0.21,1622,Standing
28,0.34,0.16,0.29,1662,Standing
29,0.43,0.15,0.3,1703,Standing
30,1.47,-0.16,0.29,1744,Standing
31,1.61,-0.3,0.52,1785,Standing
32,1.43,-0.26,0.55,1825,Standing
33,1.32,-0.15,0.73,1866,Standing
34,1.15,0.04,0.62,1906,Standing
35,1.29,0.05,0.53,1947,Standing
36,1.37,-0.07,0.39,1988,Standing
37,1.32,-0.21,0.33,2028,Standing
38,1.35,-0.36,0.31,2069,Standing
39,1.05,-0.37,0.3,2111,Standing
40,0.85,-0.38,0.26,2152,Standing
41,0.92,-0.53,0.25,2193,Standing
42,0.91,-0.54,0.27,2233,Standing
43,0.9,-0.46,0.25,2274,Standing
44,0.88,-0.34,0.29,2314,Standing
45,0.95,-0.24,0.27,2355,Standing
46,1.14,-0.25,0.27,2397,Standing
47,1.16,-0.25,0.28,2438,Standing
48,1.07,-0.22,0.31,2479,Standing
49,1.02,-0.2,0.27,2519,Standing
50,0.98,-0.19,0.24,2560,Standing
51,1.2,-0.28,0.21,2601,Standing
52,1.15,-0.37,0.27,2642,Standing
53,1.06,-0.45,0.33,2682,Standing
54,0.85,-0.39,0.48,2723,Standing
55,0.73,-0.31,0.48,2763,Standing
56,0.52,-0.23,0.65,2804,Standing
57,0.59,-0.16,0.7,2845,Standing
58,0.72,-0.17,0.67,2885,Standing
59,0.74,-0.16,0.65,2926,Standing
60,0.73,-0.2,0.67,2966,Standing
61,0.7,-0.2,0.6,3007,Standing
62,0.64,-0.19,0.61,3047,Standing
63,0.6,-0.13,0.65,3088,Standing
64,0.37,-0.12,0.7,3128,Standing
65,0.26,-0.36,0.77,3169,Standing
66,0.62,-0.73,0.92,3210,Standing
67,0.7,-0.79,0.86,3250,Standing
68,0.71,-0.74,0.87,3291,Standing
69,1.01,-0.66,0.71,3331,Standing
70,0.83,-0.47,0.71,3372,Standing
71,0.63,-0.39,0.71,3414,Standing
72,0.55,-0.39,0.8,3454,Standing
73,0.5,-0.45,0.83,3495,Standing
74,0.43,-0.46,0.79,3535,Standing
75,0.47,-0.52,0.82,3576,Standing
76,0.45,-0.5,0.86,3616,Standing
77,0.26,-0.42,0.86,3657,Standing
78,0.45,-0.5,0.84,3698,Standing
79,0.42,-0.46,0.81,3738,Standing
80,0.39,-0.45,0.87,3779,Standing
81,0.44,-0.42,0.85,3819,Standing
82,0.44,-0.43,0.85,3860,Standing
83,0.38,-0.41,0.86,3901,Standing
84,0.36,-0.4,0.88,3941,Standing
85,0.39,-0.4,0.91,3982,Standing
86,0.37,-0.45,0.88,4022,Standing
87,0.38,-0.48,0.88,4063,Standing
88,0.4,-0.43,0.83,4105,Standing
89,0.41,-0.44,0.83,4146,Standing
90,0.41,-0.44,0.88,4187,Standing
91,0.43,-0.43,0.83,4227,Standing
92,0.39,-0.43,0.89,4268,Standing
93,0.33,-0.4,0.89,4310,Standing
94,0.48,-0.39,0.81,4350,Standing
95,0.65,-0.39,0.75,4391,Standing
96,0.73,-0.39,0.69,4431,Standing
