0.01	-0.02	1.02	539
0.01	0.02	1.01	580
0.01	-0.02	1.00	620
0.00	0.00	1.00	660
0.01	0.00	1.00	700
0.00	-0.01	1.01	740
0.00	0.01	1.00	780
0.01	-0.01	1.01	820
0.02	0.00	1.01	860
0.00	0.01	1.01	900
0.00	-0.02	1.00	940
0.01	0.02	1.01	982
0.01	-0.02	1.01	1024
0.00	0.02	1.01	1064
0.01	-0.01	1.00	1104
0.01	0.01	1.00	1145
0.01	-0.00	1.00	1185
0.01	-0.01	1.01	1226
0.02	0.01	1.01	1267
0.00	-0.01	1.01	1307
0.00	0.01	1.00	1348
0.02	-0.01	1.01	1388
0.00	0.01	1.01	1429
0.00	-0.01	1.00	1470
0.01	0.00	1.00	1511
0.02	-0.00	1.00	1552
0.00	0.00	1.01	1592
0.00	0.01	1.01	1633
0.02	-0.01	1.01	1673
0.00	0.01	1.01	1714
0.00	0.00	1.00	1755
0.01	0.00	1.01	1795
0.01	0.00	1.01	1836
0.00	0.00	1.00	1878
0.02	-0.00	1.01	1918
0.00	0.00	1.00	1959
0.00	0.00	1.01	1999
0.01	-0.00	1.01	2039
0.01	0.00	1.01	2080
0.00	0.00	1.01	2121
0.01	0.00	1.00	2161
0.02	0.00	1.01	2202
0.01	0.00	1.01	2242
0.01	0.00	1.00	2283
0.01	0.01	1.01	2323
0.01	0.00	1.00	2363
0.00	0.00	1.01	2404
0.01	-0.00	1.00	2444
0.02	0.00	1.00	2485
0.01	0.00	1.00	2525
0.00	0.00	1.00	2565
0.01	0.00	1.01	2606
0.01	0.00	1.00	2646
0.00	0.00	1.01	2686
0.01	0.00	1.01	2726
0.01	0.00	1.01	2767
0.00	0.00	1.01	2807
-0.00	0.00	1.00	2848
0.02	-0.00	1.00	2889
0.00	0.00	1.01	2929
-0.00	-0.00	1.01	2970
0.01	0.00	1.01	3011
0.01	0.00	1.01	3051
0.00	0.01	1.01	3092
0.01	0.00	1.00	3132
0.01	-0.01	1.02	3173
0.00	0.00	1.00	3214
0.01	-0.01	1.01	3254
0.01	0.00	1.01	3295
0.01	0.00	1.01	3336
0.01	0.00	1.00	3376
0.02	0.00	1.01	3416
0.01	0.00	1.00	3457
0.00	-0.00	1.02	3499
0.01	0.00	1.00	3539
0.01	0.00	1.00	3579
0.00	0.00	1.00	3620
0.01	-0.00	0.99	3660
0.01	0.00	1.01	3701
0.01	0.00	1.00	3742
0.00	-0.00	1.00	3782
0.01	0.00	1.01	3823
0.01	0.00	1.00	3864
0.00	0.01	1.01	3904
0.01	0.00	1.00	3945
0.01	0.00	1.00	3986
0.00	0.00	1.01	4026
0.01	-0.00	1.01	4067
0.01	0.00	1.01	4107
0.01	0.00	1.00	4148
0.00	0.00	1.01	4189
0.00	0.00	1.00	4229
0.00	-0.01	1.00	4270
0.01	0.01	0.93	4310
0.01	-0.01	1.07	4350
0.01	0.00	1.02	4390
0.01	0.00	0.98	4431
0.00	-0.01	1.05	4471
0.00	0.01	0.98	4512
0.01	-0.01	1.02	4553
0.00	0.01	1.02	4594
0.00	0.00	0.99	4634
0.01	-0.00	1.01	4675
0.01	0.01	1.01	4716
0.01	-0.01	1.00	4756
0.01	0.01	1.01	4797
0.01	-0.01	1.01	4837
0.00	0.02	1.00	4878
-0.00	-0.00	1.01	4919
0.01	0.00	1.00	4960
0.00	0.00	1.01	5000
0.00	-0.00	1.02	5041
0.01	0.01	1.00	5082
0.01	-0.02	1.01	5122
0.01	0.01	1.00	5163
0.00	-0.00	1.01	5206
0.01	-0.00	1.01	5248
0.00	0.00	1.01	5288
0.00	0.00	1.01	5329
0.02	0.01	1.01	5369
0.00	-0.01	1.02	5409
0.01	0.01	1.00	5450
0.00	-0.00	1.01	5490
0.01	0.01	1.01	5531
0.01	-0.01	1.01	5572
0.01	0.00	1.01	5613
0.00	0.01	1.01	5653
0.00	-0.00	1.00	5693
0.00	0.00	1.00	5734
0.00	-0.01	1.01	5775
0.00	0.00	1.00	5816
0.01	-0.00	1.01	5856
0.01	0.00	1.01	5897
0.01	0.00	1.01	5937
0.00	-0.00	1.01	5978
0.00	0.00	1.01	6019
0.01	-0.01	1.02	6059
0.00	0.00	1.01	6099
0.00	-0.00	1.01	6139
0.01	0.01	1.00	6180
0.01	0.00	1.01	6221
0.01	-0.00	1.00	6261
0.01	0.01	1.01	6302
0.00	-0.00	1.01	6342
0.01	0.00	1.01	6382
0.01	-0.00	1.01	6423
0.01	0.00	1.01	6464
0.01	0.00	1.00	6504
0.01	0.00	1.01	6545
0.01	0.00	1.00	6585
0.01	0.00	1.00	6626
0.00	0.00	1.00	6666
0.01	0.00	1.01	6707
0.02	0.00	1.01	6747
0.01	0.00	1.01	6788
0.01	-0.00	1.01	6828
0.00	0.00	1.01	6868
0.01	-0.00	1.01	6908
0.00	-0.00	1.00	6949
0.01	0.00	1.00	6990
0.01	0.00	1.00	7030
0.01	0.00	1.00	7071
0.01	-0.00	1.01	7111
0.01	0.00	1.00	7152
0.01	0.00	1.00	7193
0.00	0.01	1.01	7233
0.01	0.00	1.01	7274
0.01	0.01	1.01	7315
0.00	0.00	1.01	7356
0.01	0.00	1.01	7396
0.01	0.00	1.01	7437
0.01	0.00	1.01	7477
0.00	0.01	1.01	7518
0.00	0.00	1.01	7558
0.01	-0.00	1.00	7599
0.00	-0.00	1.01	7639
0.01	-0.00	1.01	7680
0.01	0.00	1.00	7720
0.01	-0.01	1.02	7760
0.01	0.00	1.00	7801
0.00	0.00	1.01	7842
0.01	0.00	1.01	7882
0.01	0.00	1.01	7922
0.01	0.00	1.01	7963
0.00	0.00	1.00	8003
0.01	0.00	1.01	8044
0.01	0.00	1.01	8084
0.01	0.00	1.00	8125
0.01	-0.00	1.01	8165
0.00	-0.00	1.00	8206
0.01	0.00	1.01	8247
0.01	0.00	1.01	8287
0.01	0.00	1.01	8327
0.01	0.00	1.01	8367
0.00	0.00	1.01	8408
0.01	0.00	1.01	8448
0.01	0.01	1.01	8488
0.00	0.00	1.01	8528
0.01	0.00	1.01	8569
0.01	0.00	1.00	8609
0.00	0.00	1.00	8650
0.01	0.01	1.01	8690
0.01	0.00	1.01	8730
0.00	-0.00	1.01	8771
0.00	-0.00	1.01	8812
0.01	0.00	1.01	8852
0.01	0.00	1.00	8893
0.01	0.00	1.00	8933
0.01	-0.00	1.01	8974
0.01	0.00	1.00	9014
0.00	-0.00	1.01	9055
0.01	0.00	1.01	9096
0.00	0.00	1.00	9136
0.01	0.00	1.01	9177
0.01	0.00	1.01	9217
0.00	0.00	1.01	9260
0.00	0.00	1.01	9300
0.01	0.01	1.01	9341
0.00	0.00	1.00	9381
0.00	-0.00	1.01	9422
0.00	0.00	1.00	9463
0.00	0.00	1.00	9503
0.01	0.00	1.00	9543
0.01	-0.00	1.01	9584
0.00	0.00	1.00	9625
