,x,y,z,t,activity
0,0.07,0.51,0.85,542,Standing
1,0.05,0.42,0.88,582,Standing
2,-0.03,0.42,0.86,622,Standing
3,-0.1,0.45,0.87,662,Standing
4,-0.28,0.53,0.81,702,Standing
5,-0.18,0.45,0.87,743,Standing
6,-0.22,0.45,0.87,783,Standing
7,-0.2,0.44,0.89,823,Standing
8,-0.18,0.41,0.88,864,Standing
9,-0.25,0.35,0.88,904,Standing
10,-0.3,0.33,0.9,944,Standing
11,-0.31,0.28,0.85,985,Standing
12,-0.3,0.22,0.83,1025,Standing
13,-0.31,0.14,0.76,1065,Standing
14,-0.24,0.08,0.71,1105,Standing
15,-0.18,0.03,0.67,1146,Standing
16,-0.21,-0.01,0.79,1187,Standing
17,-0.08,-0.05,0.87,1228,Standing
18,-0.13,-0.13,0.89,1269,Standing
19,-0.19,-0.25,1.09,1310,Standing
20,0.0,-0.37,1.32,1351,Standing
21,-0.08,-0.35,1.04,1392,Standing
22,-0.08,-0.39,0.99,1433,Standing
23,-0.14,-0.36,0.96,1474,Standing
24,-0.07,-0.38,0.91,1515,Standing
25,-0.03,-0.48,0.82,1556,Standing
26,-0.01,-0.59,0.74,1605,Standing
27,0.03,-0.73,0.74,1646,Standing
28,0.09,-0.87,0.83,1686,Standing
29,0.05,-0.83,0.58,1727,Standing
30,0.03,-0.98,0.6,1768,Standing
31,0.05,-1.0,0.52,1808,Standing
32,0.05,-1.09,0.42,1849,Standing
33,0.14,-1.12,0.35,1890,Standing
34,0.17,-1.11,0.3,1931,Standing
35,0.13,-1.11,0.29,1972,Standing
36,0.09,-1.14,0.25,2012,Standing
37,0.11,-1.11,0.24,2053,Standing
38,0.12,-1.08,0.23,2094,Standing
39,0.12,-1.05,0.21,2135,Standing
40,0.04,-1.02,0.21,2177,Standing
41,0.09,-1.02,0.21,2217,Standing
42,0.05,-1.01,0.23,2258,Standing
43,0.03,-0.98,0.2,2299,Standing
44,0.0,-0.98,0.21,2339,Standing
45,-0.05,-0.98,0.21,2380,Standing
46,-0.02,-0.99,0.2,2420,Standing
47,-0.02,-0.99,0.18,2461,Standing
48,-0.01,-0.99,0.17,2502,Standing
49,0.01,-1.0,0.17,2543,Standing
50,0.01,-1.0,0.19,2584,Standing
51,0.03,-0.98,0.19,2625,Standing
52,0.03,-0.98,0.2,2665,Standing
53,0.03,-0.98,0.21,2706,Standing
54,0.04,-0.98,0.21,2747,Standing
55,0.04,-0.99,0.21,2788,Standing
56,0.03,-0.98,0.21,2828,Standing
57,0.04,-1.0,0.21,2869,Standing
58,0.04,-0.98,0.21,2910,Standing
59,0.03,-0.98,0.21,2950,Standing
60,0.03,-0.99,0.21,2991,Standing
61,0.04,-0.99,0.21,3032,Standing
62,0.03,-0.99,0.21,3073,Standing
63,0.04,-0.99,0.21,3115,Standing
64,0.04,-0.98,0.21,3155,Standing
65,0.03,-0.98,0.2,3196,Standing
66,0.04,-0.98,0.21,3237,Standing
67,0.04,-0.98,0.21,3277,Standing
68,0.04,-0.98,0.21,3318,Standing
69,0.04,-0.99,0.22,3359,Standing
70,0.04,-0.99,0.21,3400,Standing
71,0.03,-0.99,0.23,3441,Standing
72,0.04,-0.98,0.22,3482,Standing
73,0.04,-0.99,0.22,3522,Standing
74,0.03,-1.0,0.23,3563,Standing
75,0.04,-1.0,0.21,3604,Standing
76,0.03,-0.98,0.22,3644,Standing
77,0.03,-0.98,0.21,3685,Standing
78,0.04,-0.99,0.21,3726,Standing
79,0.03,-1.0,0.2,3767,Standing
80,0.04,-0.98,0.2,3807,Standing
81,0.05,-0.98,0.21,3848,Standing
82,0.04,-0.98,0.2,3889,Standing
83,0.04,-0.98,0.2,3929,Standing
84,0.04,-1.0,0.21,3970,Standing
85,0.04,-0.98,0.22,4011,Standing
86,0.04,-1.0,0.22,4054,Standing
87,0.04,-0.98,0.22,4096,Standing
88,0.04,-0.98,0.21,4136,Standing
89,0.04,-0.99,0.23,4177,Standing
90,0.05,-1.0,0.21,4218,Standing
91,0.04,-0.98,0.22,4258,Standing
92,0.04,-0.98,0.22,4298,Standing
93,0.05,-1.0,0.22,4339,Standing
94,0.05,-0.99,0.21,4379,Standing
95,0.04,-0.98,0.21,4420,Standing
96,0.04,-0.98,0.21,4461,Standing
97,0.05,-0.98,0.21,4501,Standing
98,0.04,-0.99,0.21,4542,Standing
99,0.05,-0.99,0.21,4583,Standing
100,0.04,-0.98,0.21,4624,Standing
101,0.04,-0.99,0.22,4664,Standing
102,0.04,-0.99,0.21,4705,Standing
103,0.04,-0.98,0.22,4746,Standing
104,0.04,-0.99,0.21,4786,Standing
105,0.04,-0.98,0.22,4827,Standing
106,0.04,-0.98,0.21,4868,Standing
107,0.05,-0.98,0.22,4909,Standing
108,0.04,-0.98,0.21,4951,Standing
109,0.04,-0.98,0.22,4992,Standing
110,0.04,-0.99,0.22,5032,Standing
111,0.04,-0.99,0.22,5073,Standing
112,0.05,-0.98,0.21,5113,Standing
113,0.05,-0.98,0.22,5154,Standing
114,0.05,-0.98,0.22,5195,Standing
115,0.05,-0.99,0.23,5236,Standing
