,x,y,z,t,activity
0,0.82,0.57,-0.12,540,Standing
1,0.77,0.5,-0.12,580,Standing
2,0.81,0.57,-0.01,621,Standing
3,0.83,0.57,-0.06,662,Standing
4,0.86,0.58,-0.12,702,Standing
5,0.86,0.55,-0.07,743,Standing
6,0.83,0.58,-0.1,784,Standing
7,0.82,0.57,-0.08,825,Standing
8,0.83,0.55,-0.07,867,Standing
9,0.84,0.55,-0.07,908,Standing
10,0.82,0.55,-0.04,949,Standing
11,0.79,0.55,-0.07,990,Standing
12,0.75,0.55,-0.04,1031,Standing
13,0.82,0.54,-0.08,1071,Standing
14,0.85,0.57,-0.04,1111,Standing
15,0.82,0.57,-0.04,1152,Standing
16,0.83,0.56,-0.01,1193,Standing
17,0.82,0.56,-0.02,1234,Standing
18,0.82,0.56,-0.01,1274,Standing
19,0.81,0.57,0.0,1316,Standing
20,0.82,0.56,-0.02,1357,Standing
21,0.8,0.57,0.0,1398,Standing
22,0.79,0.56,-0.02,1438,Standing
23,0.79,0.55,0.01,1479,Standing
24,0.79,0.55,0.01,1520,Standing
25,0.75,0.54,0.02,1560,Standing
26,0.7,0.56,0.05,1601,Standing
27,0.71,0.54,0.07,1642,Standing
28,0.84,0.39,0.12,1682,Standing
29,0.95,0.33,0.13,1723,Standing
30,1.04,0.32,0.11,1764,Standing
31,1.12,0.34,0.1,1804,Standing
32,1.03,0.44,0.13,1845,Standing
33,1.0,0.45,0.13,1885,Standing
34,0.98,0.41,0.14,1926,Standing
35,0.95,0.42,0.13,1967,Standing
36,0.86,0.43,0.16,2007,Standing
37,0.85,0.46,0.17,2048,Standing
38,0.82,0.43,0.16,2088,Standing
39,0.92,0.38,0.2,2128,Standing
40,0.95,0.38,0.16,2169,Standing
41,0.93,0.38,0.19,2211,Standing
42,0.9,0.41,0.21,2252,Standing
43,0.89,0.41,0.22,2293,Standing
44,0.91,0.43,0.23,2333,Standing
45,0.91,0.44,0.23,2374,Standing
46,0.93,0.44,0.22,2415,Standing
47,0.95,0.46,0.23,2455,Standing
