,x,y,z,t,activity
0,0.73,-0.16,-0.66,540,Standing
1,0.81,-0.14,-0.66,580,Standing
2,0.75,-0.17,-0.56,621,Standing
3,0.77,-0.14,-0.61,661,Standing
4,0.85,-0.17,-0.59,702,Standing
5,0.93,-0.14,-0.68,742,Standing
6,0.72,-0.07,-0.73,783,Standing
7,0.7,-0.09,-0.77,823,Standing
8,0.66,-0.12,-0.74,864,Standing
9,0.65,-0.11,-0.69,904,Standing
10,0.73,-0.11,-0.64,945,Standing
11,0.83,-0.16,-0.55,985,Standing
12,0.86,-0.11,-0.52,1026,Standing
13,0.84,-0.16,-0.44,1068,Standing
14,0.78,-0.13,-0.47,1110,Standing
15,0.81,-0.14,-0.42,1152,Standing
16,0.87,-0.17,-0.38,1193,Standing
17,0.88,-0.14,-0.4,1233,Standing
18,0.92,-0.18,-0.37,1273,Standing
19,0.86,-0.14,-0.39,1313,Standing
20,0.88,-0.14,-0.41,1353,Standing
21,0.89,-0.12,-0.46,1395,Standing
22,0.88,-0.09,-0.45,1436,Standing
23,0.92,-0.11,-0.38,1476,Standing
24,0.92,-0.13,-0.38,1516,Standing
25,0.83,-0.16,-0.34,1556,Standing
26,0.8,-0.12,-0.27,1596,Standing
27,0.78,-0.23,-0.13,1636,Standing
28,0.73,-0.27,-0.05,1676,Standing
29,0.64,-0.29,-0.06,1716,Standing
30,0.56,-0.36,0.06,1756,Standing
31,0.56,-0.45,0.12,1798,Standing
32,0.66,-0.63,-0.0,1839,Standing
33,0.67,-0.71,0.18,1879,Standing
34,0.64,-0.82,0.08,1921,Standing
35,0.59,-0.9,0.03,1963,Standing
36,0.59,-0.99,0.07,2003,Standing
37,0.56,-1.05,0.11,2043,Standing
38,0.47,-1.08,0.12,2083,Standing
39,0.37,-1.11,0.18,2124,Standing
40,0.3,-1.12,0.18,2164,Standing
41,0.3,-1.12,0.18,2204,Standing
42,0.29,-1.07,0.16,2245,Standing
43,0.29,-1.04,0.13,2285,Standing
44,0.3,-1.03,0.13,2325,Standing
45,0.28,-1.02,0.11,2366,Standing
46,0.26,-1.04,0.09,2406,Standing
47,0.25,-1.05,0.07,2447,Standing
48,0.23,-1.03,0.06,2487,Standing
49,0.19,-0.98,0.05,2527,Standing
50,0.17,-1.0,0.07,2568,Standing
51,0.13,-0.98,0.07,2608,Standing
52,0.12,-1.0,0.09,2650,Standing
53,0.11,-0.98,0.1,2691,Standing
54,0.12,-0.96,0.11,2731,Standing
55,0.12,-0.97,0.1,2772,Standing
56,0.12,-0.96,0.11,2813,Standing
57,0.12,-0.95,0.11,2853,Standing
58,0.13,-0.95,0.1,2893,Standing
59,0.13,-0.95,0.11,2934,Standing
60,0.14,-0.96,0.1,2974,Standing
61,0.14,-0.97,0.09,3016,Standing
62,0.13,-0.98,0.08,3057,Standing
63,0.14,-0.98,0.09,3097,Standing
64,0.15,-0.97,0.09,3139,Standing
65,0.14,-0.96,0.1,3180,Standing
66,0.15,-0.95,0.12,3220,Standing
67,0.15,-0.96,0.12,3261,Standing
68,0.16,-0.97,0.12,3301,Standing
69,0.16,-0.97,0.12,3343,Standing
70,0.18,-0.98,0.12,3384,Standing
71,0.19,-0.97,0.11,3424,Standing
72,0.18,-0.97,0.12,3466,Standing
73,0.18,-0.97,0.12,3507,Standing
74,0.17,-0.98,0.13,3547,Standing
75,0.16,-0.98,0.12,3589,Standing
76,0.16,-0.97,0.12,3630,Standing
77,0.14,-0.97,0.12,3670,Standing
78,0.15,-0.97,0.12,3712,Standing
79,0.14,-0.96,0.12,3752,Standing
80,0.14,-0.96,0.12,3792,Standing
81,0.14,-0.96,0.12,3834,Standing
82,0.14,-0.96,0.11,3875,Standing
83,0.14,-0.96,0.12,3915,Standing
84,0.15,-0.97,0.12,3957,Standing
85,0.14,-0.97,0.12,3998,Standing
86,0.14,-0.98,0.12,4038,Standing
87,0.15,-0.97,0.12,4078,Standing
88,0.15,-0.98,0.11,4119,Standing
89,0.15,-0.98,0.12,4159,Standing
90,0.14,-0.98,0.12,4201,Standing
91,0.14,-0.98,0.13,4242,Standing
92,0.13,-0.98,0.13,4282,Standing
93,0.13,-0.98,0.13,4323,Standing
94,0.12,-0.98,0.14,4363,Standing
95,0.13,-0.98,0.13,4403,Standing
96,0.12,-0.98,0.12,4444,Standing
97,0.12,-0.98,0.13,4484,Standing
98,0.11,-1.0,0.12,4524,Standing
99,0.11,-0.98,0.13,4564,Standing
100,0.11,-0.98,0.13,4604,Standing
101,0.1,-0.98,0.14,4644,Standing
102,0.1,-0.97,0.14,4685,Standing
103,0.11,-0.98,0.13,4725,Standing
104,0.1,-0.98,0.15,4765,Standing
105,0.09,-0.98,0.14,4806,Standing
106,0.1,-0.97,0.14,4846,Standing
107,0.09,-0.97,0.14,4886,Standing
108,0.08,-0.96,0.15,4927,Standing
109,0.08,-0.97,0.16,4967,Standing
110,0.07,-0.94,0.16,5007,Standing
111,0.11,-0.95,0.15,5048,Standing
112,0.09,-0.98,0.15,5088,Standing
113,0.05,-0.97,0.16,5128,Standing
114,0.07,-0.96,0.16,5169,Standing
115,0.08,-0.96,0.16,5209,Standing
116,0.07,-0.95,0.16,5251,Standing
117,0.07,-0.96,0.14,5292,Standing
118,0.05,-0.98,0.12,5334,Standing
119,0.06,-0.97,0.12,5376,Standing
120,0.05,-0.98,0.14,5416,Standing
121,0.05,-0.98,0.14,5456,Standing
122,0.07,-0.97,0.14,5496,Standing
123,0.07,-0.98,0.15,5537,Standing
124,0.07,-0.99,0.16,5577,Standing
125,0.08,-0.98,0.14,5619,Standing
126,0.08,-0.96,0.14,5660,Standing
127,0.08,-0.95,0.13,5700,Standing
128,0.09,-0.93,0.11,5740,Standing
129,0.09,-0.95,0.11,5781,Standing
130,0.11,-0.97,0.11,5821,Standing
131,0.11,-0.97,0.12,5863,Standing
132,0.11,-0.97,0.12,5904,Standing
133,0.11,-0.98,0.12,5944,Standing
134,0.12,-0.98,0.13,5984,Standing
135,0.12,-0.98,0.13,6025,Standing
136,0.13,-0.99,0.13,6065,Standing
137,0.14,-0.99,0.13,6107,Standing
138,0.14,-0.98,0.12,6148,Standing
139,0.14,-0.98,0.12,6188,Standing
140,0.15,-0.98,0.11,6228,Standing
141,0.15,-0.98,0.11,6268,Standing
142,0.14,-1.0,0.11,6308,Standing
143,0.14,-0.99,0.12,6349,Standing
144,0.14,-0.98,0.1,6389,Standing
145,0.14,-0.96,0.1,6429,Standing
146,0.15,-0.95,0.1,6470,Standing
147,0.16,-0.97,0.09,6510,Standing
148,0.17,-0.97,0.11,6552,Standing
149,0.17,-0.97,0.11,6593,Standing
150,0.17,-0.97,0.11,6633,Standing
151,0.18,-0.96,0.11,6675,Standing
152,0.18,-0.97,0.11,6716,Standing
153,0.18,-0.96,0.13,6756,Standing
154,0.18,-0.97,0.13,6798,Standing
155,0.19,-0.98,0.13,6839,Standing
156,0.19,-0.98,0.13,6879,Standing
157,0.18,-0.97,0.14,6921,Standing
158,0.18,-0.96,0.14,6962,Standing
159,0.18,-0.96,0.13,7002,Standing
160,0.18,-0.96,0.14,7042,Standing
161,0.18,-0.95,0.12,7083,Standing
162,0.17,-0.96,0.12,7124,Standing
163,0.18,-0.96,0.12,7165,Standing
164,0.17,-0.97,0.12,7205,Standing
165,0.18,-0.98,0.12,7246,Standing
166,0.18,-0.96,0.11,7286,Standing
167,0.2,-0.96,0.12,7327,Standing
168,0.18,-0.98,0.13,7367,Standing
169,0.18,-0.97,0.14,7407,Standing
170,0.18,-0.98,0.13,7448,Standing
171,0.19,-0.98,0.13,7488,Standing
172,0.17,-0.98,0.12,7529,Standing
173,0.18,-0.97,0.12,7569,Standing
