,x,y,z,t,activity
0,0.66,-0.81,0.19,540,Standing
1,0.68,-0.82,0.18,582,Standing
2,0.69,-0.79,0.19,623,Standing
3,0.66,-0.77,0.19,664,Standing
4,0.71,-0.75,0.18,705,Standing
5,0.62,-0.77,0.18,746,Standing
6,0.64,-0.74,0.17,786,Standing
7,0.73,-0.72,0.16,827,Standing
8,0.7,-0.76,0.18,868,Standing
9,0.68,-0.75,0.16,909,Standing
10,0.74,-0.74,0.17,951,Standing
11,0.75,-0.76,0.18,992,Standing
12,0.68,-0.78,0.2,1033,Standing
13,0.66,-0.75,0.18,1073,Standing
14,0.65,-0.77,0.16,1114,Standing
15,0.66,-0.79,0.15,1154,Standing
16,0.69,-0.8,0.13,1195,Standing
17,0.66,-0.82,0.16,1236,Standing
18,0.64,-0.82,0.19,1276,Standing
19,0.63,-0.8,0.17,1317,Standing
20,0.64,-0.79,0.11,1357,Standing
21,0.65,-0.78,0.11,1398,Standing
22,0.66,-0.79,0.12,1438,Standing
23,0.66,-0.79,0.1,1479,Standing
24,0.64,-0.79,0.11,1519,Standing
25,0.64,-0.83,0.11,1559,Standing
26,0.63,-0.83,0.11,1600,Standing
27,0.63,-0.81,0.09,1640,Standing
28,0.59,-0.81,0.09,1680,Standing
29,0.61,-0.83,0.13,1722,Standing
30,0.64,-0.83,0.11,1763,Standing
31,0.62,-0.82,0.11,1803,Standing
32,0.59,-0.82,0.1,1843,Standing
33,0.62,-0.84,0.11,1884,Standing
34,0.59,-0.84,0.1,1924,Standing
35,0.59,-0.85,0.09,1964,Standing
36,0.61,-0.84,0.11,2004,Standing
37,0.56,-0.84,0.08,2044,Standing
38,0.58,-0.84,0.09,2084,Standing
39,0.61,-0.85,0.09,2125,Standing
40,0.58,-0.86,0.05,2165,Standing
41,0.53,-0.86,0.05,2205,Standing
42,0.55,-0.86,0.07,2247,Standing
43,0.58,-0.87,0.06,2288,Standing
44,0.57,-0.86,0.06,2328,Standing
45,0.57,-0.85,0.06,2368,Standing
46,0.59,-0.84,0.08,2409,Standing
47,0.61,-0.85,0.06,2449,Standing
48,0.59,-0.85,0.06,2489,Standing
49,0.58,-0.86,0.06,2530,Standing
50,0.54,-0.86,0.05,2570,Standing
51,0.57,-0.86,0.05,2610,Standing
52,0.57,-0.85,0.05,2651,Standing
53,0.55,-0.86,0.06,2691,Standing
54,0.57,-0.87,0.06,2731,Standing
55,0.58,-0.86,0.07,2771,Standing
56,0.55,-0.85,0.07,2811,Standing
57,0.58,-0.86,0.07,2851,Standing
58,0.6,-0.86,0.1,2892,Standing
59,0.63,-0.91,0.14,2932,Standing
60,0.61,-0.89,0.1,2972,Standing
61,0.58,-0.86,0.08,3013,Standing
62,0.56,-0.84,0.07,3053,Standing
63,0.52,-0.82,0.09,3093,Standing
64,0.52,-0.82,0.09,3135,Standing
65,0.54,-0.82,0.09,3176,Standing
66,0.58,-0.84,0.1,3216,Standing
67,0.58,-0.85,0.11,3256,Standing
68,0.59,-0.83,0.12,3297,Standing
69,0.61,-0.87,0.15,3337,Standing
70,0.63,-0.86,0.16,3377,Standing
71,0.61,-0.84,0.14,3418,Standing
72,0.58,-0.83,0.14,3458,Standing
73,0.58,-0.84,0.13,3500,Standing
74,0.68,-0.82,0.13,3540,Standing
75,0.66,-0.84,0.12,3580,Standing
76,0.61,-0.82,0.13,3620,Standing
77,0.58,-0.77,0.13,3661,Standing
78,0.62,-0.81,0.14,3701,Standing
79,0.63,-0.82,0.17,3741,Standing
80,0.62,-0.82,0.18,3783,Standing
81,0.64,-0.79,0.16,3824,Standing
82,0.64,-0.79,0.16,3864,Standing
83,0.62,-0.79,0.17,3904,Standing
84,0.65,-0.8,0.16,3945,Standing
85,0.63,-0.8,0.18,3985,Standing
86,0.64,-0.78,0.19,4025,Standing
87,0.63,-0.8,0.19,4066,Standing
88,0.62,-0.82,0.2,4106,Standing
89,0.61,-0.82,0.17,4146,Standing
90,0.61,-0.81,0.17,4188,Standing
91,0.64,-0.8,0.17,4229,Standing
92,0.64,-0.79,0.19,4269,Standing
93,0.64,-0.79,0.19,4311,Standing
94,0.64,-0.8,0.19,4352,Standing
95,0.63,-0.81,0.17,4393,Standing
96,0.62,-0.81,0.19,4433,Standing
97,0.6,-0.8,0.19,4474,Standing
98,0.62,-0.8,0.18,4514,Standing
99,0.63,-0.8,0.18,4554,Standing
100,0.63,-0.81,0.19,4594,Standing
101,0.63,-0.81,0.19,4635,Standing
102,0.63,-0.79,0.18,4675,Standing
103,0.64,-0.81,0.18,4715,Standing
104,0.64,-0.8,0.18,4756,Standing
105,0.64,-0.79,0.18,4796,Standing
106,0.61,-0.8,0.17,4836,Standing
107,0.63,-0.82,0.18,4877,Standing
108,0.63,-0.8,0.18,4917,Standing
109,0.63,-0.8,0.17,4957,Standing
110,0.63,-0.8,0.18,4999,Standing
111,0.63,-0.8,0.18,5040,Standing
112,0.63,-0.8,0.16,5080,Standing
113,0.64,-0.81,0.18,5120,Standing
114,0.62,-0.8,0.18,5160,Standing
115,0.63,-0.79,0.17,5200,Standing
116,0.63,-0.81,0.18,5240,Standing
117,0.63,-0.81,0.17,5281,Standing
118,0.63,-0.82,0.18,5321,Standing
119,0.62,-0.81,0.17,5361,Standing
120,0.64,-0.81,0.18,5402,Standing
121,0.64,-0.8,0.19,5442,Standing
122,0.61,-0.79,0.18,5482,Standing
123,0.63,-0.82,0.18,5523,Standing
124,0.64,-0.8,0.17,5563,Standing
125,0.64,-0.81,0.17,5603,Standing
126,0.61,-0.8,0.17,5643,Standing
127,0.63,-0.81,0.18,5684,Standing
128,0.64,-0.81,0.16,5724,Standing
129,0.63,-0.8,0.15,5764,Standing
130,0.62,-0.79,0.17,5805,Standing
131,0.63,-0.8,0.16,5847,Standing
132,0.64,-0.81,0.16,5889,Standing
133,0.62,-0.81,0.16,5931,Standing
134,0.63,-0.82,0.16,5971,Standing
135,0.64,-0.81,0.16,6011,Standing
136,0.62,-0.81,0.15,6051,Standing
137,0.63,-0.81,0.15,6092,Standing
138,0.63,-0.81,0.16,6132,Standing
139,0.63,-0.81,0.15,6172,Standing
140,0.63,-0.8,0.14,6213,Standing
141,0.64,-0.82,0.16,6253,Standing
142,0.65,-0.81,0.15,6293,Standing
143,0.64,-0.8,0.13,6333,Standing
144,0.62,-0.81,0.14,6374,Standing
145,0.62,-0.81,0.15,6414,Standing
146,0.63,-0.82,0.16,6454,Standing
147,0.65,-0.8,0.14,6495,Standing
148,0.64,-0.81,0.15,6535,Standing
149,0.63,-0.8,0.15,6575,Standing
150,0.64,-0.8,0.15,6616,Standing
151,0.64,-0.79,0.15,6656,Standing
152,0.64,-0.79,0.15,6697,Standing
153,0.64,-0.81,0.16,6737,Standing
154,0.63,-0.81,0.15,6778,Standing
155,0.62,-0.8,0.14,6818,Standing
156,0.63,-0.81,0.16,6858,Standing
157,0.64,-0.8,0.16,6899,Standing
158,0.63,-0.81,0.14,6939,Standing
159,0.64,-0.8,0.15,6979,Standing
160,0.63,-0.8,0.16,7020,Standing
161,0.63,-0.8,0.16,7060,Standing
162,0.64,-0.81,0.15,7100,Standing
163,0.63,-0.81,0.16,7141,Standing
164,0.64,-0.8,0.16,7181,Standing
165,0.65,-0.79,0.16,7222,Standing
166,0.63,-0.8,0.15,7262,Standing
167,0.63,-0.8,0.15,7302,Standing
168,0.64,-0.82,0.16,7343,Standing
169,0.64,-0.81,0.16,7383,Standing
170,0.65,-0.79,0.16,7424,Standing
171,0.64,-0.81,0.15,7465,Standing
172,0.62,-0.81,0.16,7505,Standing
173,0.62,-0.81,0.14,7546,Standing
174,0.64,-0.81,0.16,7586,Standing
175,0.64,-0.81,0.17,7627,Standing
176,0.65,-0.79,0.14,7667,Standing
177,0.64,-0.8,0.16,7707,Standing
178,0.63,-0.81,0.16,7748,Standing
179,0.62,-0.8,0.16,7788,Standing
180,0.63,-0.81,0.16,7829,Standing
181,0.64,-0.8,0.15,7869,Standing
182,0.64,-0.81,0.16,7909,Standing
183,0.64,-0.81,0.16,7950,Standing
184,0.64,-0.8,0.16,7990,Standing
185,0.64,-0.8,0.17,8031,Standing
186,0.63,-0.8,0.15,8071,Standing
187,0.61,-0.81,0.15,8111,Standing
188,0.62,-0.81,0.16,8152,Standing
189,0.64,-0.8,0.15,8192,Standing
190,0.63,-0.8,0.16,8233,Standing
191,0.65,-0.81,0.16,8274,Standing
192,0.64,-0.81,0.15,8314,Standing
193,0.63,-0.82,0.16,8356,Standing
194,0.61,-0.79,0.15,8397,Standing
195,0.64,-0.8,0.14,8437,Standing
196,0.66,-0.79,0.16,8478,Standing
197,0.63,-0.8,0.16,8518,Standing
198,0.63,-0.81,0.16,8558,Standing
199,0.64,-0.8,0.15,8599,Standing
200,0.63,-0.79,0.16,8639,Standing
201,0.64,-0.79,0.16,8679,Standing
202,0.65,-0.8,0.16,8720,Standing
203,0.64,-0.81,0.15,8760,Standing
204,0.62,-0.8,0.16,8801,Standing
205,0.63,-0.81,0.15,8841,Standing
206,0.65,-0.8,0.15,8882,Standing
207,0.63,-0.8,0.16,8922,Standing
208,0.63,-0.8,0.16,8963,Standing
209,0.63,-0.81,0.16,9004,Standing
210,0.64,-0.8,0.16,9046,Standing
211,0.63,-0.79,0.15,9088,Standing
212,0.66,-0.79,0.17,9129,Standing
213,0.66,-0.81,0.16,9171,Standing
214,0.61,-0.82,0.16,9212,Standing
215,0.58,-0.82,0.15,9252,Standing
216,0.6,-0.83,0.14,9292,Standing
217,0.64,-0.81,0.16,9333,Standing
218,0.62,-0.79,0.17,9373,Standing
219,0.63,-0.79,0.17,9413,Standing
220,0.64,-0.8,0.15,9453,Standing
221,0.63,-0.82,0.16,9494,Standing
222,0.62,-0.8,0.15,9534,Standing
223,0.62,-0.81,0.16,9574,Standing
224,0.64,-0.81,0.16,9615,Standing
225,0.63,-0.8,0.15,9655,Standing
226,0.64,-0.8,0.16,9695,Standing
227,0.65,-0.82,0.17,9736,Standing
228,0.64,-0.8,0.16,9776,Standing
229,0.63,-0.81,0.16,9816,Standing
230,0.63,-0.81,0.16,9856,Standing
231,0.62,-0.82,0.14,9896,Standing
232,0.64,-0.82,0.15,9936,Standing
233,0.63,-0.79,0.15,9976,Standing
234,0.64,-0.79,0.14,10017,Standing
235,0.64,-0.79,0.15,10057,Standing
236,0.64,-0.8,0.15,10098,Standing
237,0.63,-0.81,0.15,10138,Standing
238,0.63,-0.8,0.15,10178,Standing
239,0.64,-0.79,0.14,10218,Standing
240,0.64,-0.79,0.15,10258,Standing
241,0.64,-0.8,0.17,10298,Standing
242,0.64,-0.8,0.16,10338,Standing
243,0.64,-0.81,0.15,10378,Standing
244,0.63,-0.8,0.16,10418,Standing
245,0.63,-0.81,0.16,10458,Standing
246,0.63,-0.8,0.16,10499,Standing
247,0.63,-0.79,0.16,10539,Standing
248,0.64,-0.81,0.15,10580,Standing
249,0.64,-0.79,0.16,10620,Standing
250,0.64,-0.79,0.16,10660,Standing
251,0.64,-0.79,0.16,10700,Standing
252,0.63,-0.8,0.15,10740,Standing
253,0.63,-0.81,0.16,10780,Standing
254,0.63,-0.79,0.15,10820,Standing
255,0.64,-0.8,0.16,10860,Standing
256,0.64,-0.8,0.16,10901,Standing
257,0.63,-0.81,0.16,10941,Standing
258,0.64,-0.81,0.16,10981,Standing
259,0.64,-0.79,0.16,11021,Standing
260,0.64,-0.8,0.16,11061,Standing
