,x,y,z,t,activity
0,0.23,0.79,0.32,536,Standing
1,0.31,0.67,0.28,578,Standing
2,0.39,0.68,0.24,618,Standing
3,0.43,0.64,0.16,659,Standing
4,0.51,0.71,0.16,700,Standing
5,0.59,0.7,0.11,741,Standing
6,0.66,0.58,0.16,782,Standing
7,0.83,0.47,0.11,823,Standing
8,0.84,0.39,0.14,864,Standing
9,0.99,0.21,0.17,905,Standing
10,0.91,0.11,0.18,946,Standing
11,1.07,-0.03,0.28,987,Standing
12,1.01,-0.25,0.18,1028,Standing
13,1.18,-0.46,0.18,1068,Standing
14,1.21,-0.61,0.21,1108,Standing
15,0.98,-0.63,0.25,1148,Standing
16,0.77,-0.77,0.32,1189,Standing
17,0.69,-0.98,0.49,1229,Standing
18,0.66,-1.02,0.43,1269,Standing
19,0.54,-1.0,0.34,1310,Standing
20,0.49,-1.0,0.36,1350,Standing
21,0.49,-1.0,0.39,1391,Standing
22,0.48,-0.95,0.37,1431,Standing
23,0.48,-0.91,0.33,1471,Standing
24,0.46,-0.89,0.31,1512,Standing
25,0.44,-0.9,0.28,1552,Standing
26,0.4,-0.9,0.25,1593,Standing
27,0.38,-0.89,0.24,1633,Standing
28,0.37,-0.89,0.25,1673,Standing
29,0.37,-0.91,0.25,1714,Standing
30,0.37,-0.93,0.24,1754,Standing
31,0.37,-0.93,0.24,1795,Standing
32,0.36,-0.93,0.25,1835,Standing
33,0.36,-0.91,0.23,1876,Standing
34,0.36,-0.91,0.23,1917,Standing
35,0.37,-0.91,0.24,1957,Standing
36,0.37,-0.91,0.24,1998,Standing
37,0.37,-0.91,0.25,2038,Standing
38,0.37,-0.91,0.27,2078,Standing
39,0.37,-0.9,0.27,2119,Standing
40,0.38,-0.9,0.27,2159,Standing
41,0.39,-0.91,0.27,2200,Standing
42,0.38,-0.92,0.28,2240,Standing
43,0.38,-0.91,0.27,2281,Standing
44,0.38,-0.91,0.27,2321,Standing
45,0.38,-0.91,0.27,2361,Standing
46,0.38,-0.91,0.27,2402,Standing
47,0.37,-0.92,0.26,2442,Standing
48,0.37,-0.91,0.27,2483,Standing
49,0.37,-0.91,0.26,2523,Standing
50,0.36,-0.92,0.27,2563,Standing
51,0.35,-0.91,0.28,2604,Standing
52,0.36,-0.91,0.27,2646,Standing
53,0.36,-0.91,0.29,2688,Standing
54,0.36,-0.92,0.31,2728,Standing
55,0.37,-0.92,0.32,2768,Standing
56,0.37,-0.9,0.32,2809,Standing
57,0.36,-0.91,0.33,2849,Standing
58,0.35,-0.9,0.32,2889,Standing
59,0.34,-0.89,0.32,2930,Standing
60,0.34,-0.88,0.31,2970,Standing
61,0.34,-0.86,0.3,3011,Standing
62,0.34,-0.86,0.29,3051,Standing
63,0.36,-0.89,0.3,3093,Standing
64,0.35,-0.89,0.31,3134,Standing
65,0.36,-0.87,0.32,3174,Standing
66,0.39,-0.88,0.34,3215,Standing
67,0.41,-0.87,0.33,3255,Standing
68,0.41,-0.88,0.36,3296,Standing
69,0.39,-0.87,0.35,3336,Standing
70,0.37,-0.88,0.35,3376,Standing
71,0.38,-0.89,0.36,3417,Standing
72,0.37,-0.88,0.34,3457,Standing
73,0.38,-0.89,0.33,3499,Standing
74,0.37,-0.89,0.33,3539,Standing
75,0.37,-0.89,0.32,3579,Standing
76,0.38,-0.89,0.32,3620,Standing
77,0.38,-0.89,0.32,3660,Standing
78,0.36,-0.89,0.32,3700,Standing
79,0.36,-0.89,0.32,3741,Standing
80,0.36,-0.89,0.31,3781,Standing
81,0.36,-0.9,0.31,3822,Standing
82,0.36,-0.89,0.31,3862,Standing
83,0.36,-0.89,0.31,3902,Standing
84,0.36,-0.89,0.32,3943,Standing
85,0.37,-0.9,0.31,3983,Standing
86,0.36,-0.89,0.31,4025,Standing
87,0.37,-0.9,0.32,4066,Standing
