,x,y,z,t,activity
0,0.02,-0.09,1.03,540,Standing
1,0.01,-0.08,1.05,581,Standing
2,0.01,-0.09,1.13,621,Standing
3,0.01,-0.08,1.12,662,Standing
4,0.01,-0.08,1.09,702,Standing
5,0.02,-0.08,1.13,742,Standing
6,0.01,-0.08,1.09,783,Standing
7,0.01,-0.08,1.08,823,Standing
8,0.02,-0.09,1.09,864,Standing
9,0.02,-0.08,1.08,904,Standing
10,0.01,-0.08,1.04,945,Standing
11,0.01,-0.08,1.03,985,Standing
12,0.01,-0.08,1.09,1026,Standing
13,0.01,-0.08,1.08,1067,Standing
14,0.01,-0.08,1.08,1108,Standing
15,0.01,-0.08,1.04,1149,Standing
16,0.01,-0.08,1.08,1190,Standing
17,0.02,-0.08,1.06,1231,Standing
18,0.02,-0.07,1.07,1272,Standing
19,0.01,-0.08,1.09,1313,Standing
20,0.01,-0.08,1.04,1354,Standing
21,0.01,-0.08,1.11,1395,Standing
22,0.02,-0.08,1.13,1435,Standing
23,0.01,-0.08,1.03,1476,Standing
24,0.01,-0.08,1.12,1517,Standing
25,0.01,-0.09,1.09,1558,Standing
26,0.02,-0.08,1.08,1599,Standing
27,0.0,-0.08,1.04,1640,Standing
28,0.01,-0.08,1.03,1681,Standing
29,0.02,-0.07,1.07,1722,Standing
30,0.01,-0.08,1.04,1763,Standing
31,0.02,-0.08,1.12,1804,Standing
32,0.01,-0.08,1.07,1845,Standing
33,0.02,-0.08,1.1,1886,Standing
34,0.02,-0.07,1.12,1927,Standing
35,0.01,-0.08,1.07,1968,Standing
36,0.02,-0.08,1.07,2009,Standing
37,0.01,-0.08,1.04,2050,Standing
38,0.02,-0.08,1.13,2091,Standing
39,0.01,-0.08,1.08,2131,Standing
40,0.02,-0.08,1.04,2172,Standing
41,0.01,-0.09,1.12,2213,Standing
42,0.01,-0.08,1.08,2254,Standing
43,0.02,-0.08,1.09,2295,Standing
44,0.01,-0.08,1.05,2336,Standing
45,0.01,-0.08,1.09,2377,Standing
46,0.01,-0.08,1.11,2417,Standing
47,0.02,-0.08,1.07,2458,Standing
48,0.02,-0.07,1.08,2499,Standing
49,0.01,-0.08,1.05,2540,Standing
50,0.01,-0.07,1.11,2581,Standing
51,0.01,-0.07,1.07,2622,Standing
52,0.02,-0.08,1.03,2663,Standing
53,-0.12,0.29,1.11,2704,Standing
54,0.04,-0.2,1.14,2745,Standing
55,0.04,-0.25,0.92,2786,Standing
56,0.07,-0.18,1.08,2827,Standing
57,0.02,-0.12,1.2,2868,Standing
58,0.07,-0.24,0.75,2909,Standing
59,0.16,-0.26,0.92,2950,Standing
60,0.01,-0.38,1.12,2991,Standing
61,0.06,-0.27,0.8,3031,Standing
62,0.08,-0.46,1.16,3072,Standing
63,0.06,-0.17,1.04,3112,Standing
64,0.09,-0.46,1.18,3153,Standing
65,-0.02,-0.45,0.98,3194,Standing
66,0.19,-0.46,0.99,3235,Standing
67,0.0,-0.57,0.68,3276,Standing
68,0.16,-0.54,0.98,3317,Standing
69,0.21,-0.11,0.93,3358,Standing
70,0.04,-0.46,1.18,3398,Standing
71,0.13,-0.26,0.89,3439,Standing
72,0.14,-0.39,1.06,3480,Standing
73,0.14,-0.43,1.09,3521,Standing
74,0.26,-0.44,0.98,3562,Standing
75,0.13,-0.37,1.02,3603,Standing
76,0.15,-0.5,0.95,3644,Standing
77,0.11,-0.13,1.14,3685,Standing
78,0.21,-0.49,1.11,3726,Standing
79,0.1,-0.46,1.07,3767,Standing
80,0.05,-0.45,0.9,3807,Standing
81,0.21,-0.39,1.09,3847,Standing
82,0.11,-0.29,0.87,3887,Standing
83,0.23,-0.54,1.23,3928,Standing
84,0.08,-0.41,0.79,3969,Standing
85,0.23,-0.13,1.14,4009,Standing
86,0.18,-0.5,0.89,4050,Standing
87,0.14,-0.47,1.2,4091,Standing
88,0.07,-0.5,1.15,4132,Standing
89,0.17,-0.24,0.79,4173,Standing
90,0.1,-0.33,0.85,4213,Standing
91,0.16,-0.22,0.82,4254,Standing
92,0.18,-0.27,0.75,4294,Standing
93,0.13,-0.24,1.02,4336,Standing
94,0.03,-0.09,1.07,536,Standing
95,0.02,-0.1,1.07,576,Standing
96,0.02,-0.09,1.13,617,Standing
97,0.02,-0.09,1.12,657,Standing
98,0.02,-0.09,1.07,698,Standing
99,0.02,-0.09,1.04,738,Standing
100,0.02,-0.09,1.09,779,Standing
101,0.02,-0.09,1.07,819,Standing
102,0.02,-0.1,1.08,860,Standing
103,0.02,-0.1,1.07,900,Standing
104,0.02,-0.09,1.1,941,Standing
105,0.02,-0.09,1.03,983,Standing
106,0.02,-0.09,1.08,1024,Standing
107,0.02,-0.09,1.03,1064,Standing
108,0.02,-0.09,1.08,1105,Standing
109,0.02,-0.09,1.07,1146,Standing
110,0.02,-0.09,1.09,1186,Standing
111,0.02,-0.09,1.14,1227,Standing
112,0.02,-0.09,1.04,1268,Standing
113,0.03,-0.09,1.12,1309,Standing
114,0.02,-0.09,1.04,1350,Standing
115,0.02,-0.09,1.09,1390,Standing
116,0.02,-0.09,1.07,1430,Standing
117,0.03,-0.09,1.07,1471,Standing
118,0.02,-0.09,1.1,1512,Standing
119,0.02,-0.09,1.05,1553,Standing
120,0.02,-0.09,1.03,1593,Standing
121,0.02,-0.09,1.09,1634,Standing
122,0.03,-0.09,1.04,1674,Standing
123,0.03,-0.1,1.04,1715,Standing
124,0.03,-0.1,1.08,1756,Standing
125,0.03,-0.11,1.08,1797,Standing
126,0.02,-0.09,1.04,1838,Standing
127,0.02,-0.09,1.1,1878,Standing
128,0.03,-0.11,1.08,1918,Standing
129,0.01,-0.08,1.07,1959,Standing
130,0.02,-0.11,1.07,2000,Standing
131,0.01,-0.07,1.07,2041,Standing
132,0.03,-0.13,1.1,2082,Standing
133,0.01,-0.1,1.06,2122,Standing
134,0.01,-0.09,1.04,2163,Standing
135,0.02,-0.13,1.08,2204,Standing
136,0.0,-0.05,1.08,2245,Standing
137,0.01,-0.11,1.04,2286,Standing
138,0.02,-0.08,1.1,2326,Standing
139,0.0,-0.07,1.08,2367,Standing
140,0.0,-0.07,1.09,2407,Standing
141,0.01,-0.1,1.08,2448,Standing
142,0.0,-0.1,1.07,2489,Standing
143,0.01,-0.1,1.08,2530,Standing
144,0.0,-0.09,1.13,2571,Standing
145,0.0,-0.09,1.08,2612,Standing
146,0.01,-0.09,1.08,2653,Standing
147,0.01,-0.08,1.15,2693,Standing
148,0.0,-0.09,1.03,2734,Standing
149,0.01,-0.09,1.13,2775,Standing
150,0.0,-0.09,1.03,2816,Standing
151,0.01,-0.1,1.12,2856,Standing
152,0.0,-0.09,1.07,2896,Standing
153,0.0,-0.09,1.09,2937,Standing
154,0.0,-0.09,1.13,2978,Standing
155,-0.04,0.07,0.98,3019,Standing
156,0.04,-0.19,1.11,3060,Standing
157,-0.02,-0.01,0.99,3100,Standing
158,0.0,-0.11,1.09,3140,Standing
159,-0.02,-0.07,1.06,3181,Standing
160,0.01,-0.07,1.12,3222,Standing
161,0.01,-0.07,0.92,3262,Standing
162,-0.01,-0.15,1.07,3302,Standing
163,0.01,-0.1,1.03,3342,Standing
164,0.0,-0.08,1.06,3382,Standing
165,0.0,-0.09,1.12,3423,Standing
166,0.01,-0.09,1.03,3464,Standing
167,0.01,-0.09,1.09,3505,Standing
168,0.0,-0.09,1.04,3546,Standing
169,0.01,-0.09,1.16,3587,Standing
170,0.01,-0.09,1.04,3628,Standing
171,0.02,-0.08,1.09,3671,Standing
172,0.01,-0.09,1.06,3713,Standing
173,0.0,-0.07,1.04,3753,Standing
174,0.0,-0.08,1.07,3794,Standing
175,0.01,-0.08,1.08,3835,Standing
176,0.01,-0.08,1.09,3876,Standing
177,0.12,-0.3,1.0,3917,Standing
178,0.01,-0.07,1.0,3957,Standing
179,-0.02,-0.07,1.09,3998,Standing
180,0.02,-0.1,1.02,4039,Standing
