,x,y,z,t,activity
0,0.62,-0.63,0.54,539,Standing
1,0.65,-0.61,0.52,579,Standing
2,0.66,-0.63,0.61,620,Standing
3,0.66,-0.66,0.6,661,Standing
4,0.31,-0.39,0.46,702,Standing
5,0.51,-0.45,0.61,744,Standing
6,0.65,-0.51,0.66,785,Standing
7,0.64,-0.6,0.59,826,Standing
8,0.51,-0.58,0.62,867,Standing
9,0.51,-0.57,0.67,908,Standing
10,0.48,-0.52,0.66,949,Standing
11,0.46,-0.48,0.68,990,Standing
12,0.45,-0.45,0.7,1031,Standing
13,0.46,-0.43,0.7,1072,Standing
14,0.46,-0.43,0.7,1112,Standing
15,0.44,-0.44,0.69,1153,Standing
16,0.41,-0.46,0.7,1195,Standing
17,0.41,-0.5,0.68,1235,Standing
18,0.43,-0.53,0.67,1275,Standing
19,0.45,-0.56,0.66,1316,Standing
20,0.49,-0.59,0.66,1356,Standing
21,0.47,-0.63,0.63,1398,Standing
22,0.51,-0.65,0.64,1439,Standing
23,0.61,-0.68,0.66,1480,Standing
24,0.62,-0.68,0.63,1520,Standing
25,0.6,-0.68,0.62,1560,Standing
26,0.6,-0.67,0.61,1601,Standing
27,0.59,-0.64,0.6,1641,Standing
28,0.58,-0.65,0.61,1682,Standing
29,0.56,-0.66,0.6,1722,Standing
30,0.54,-0.67,0.6,1763,Standing
31,0.52,-0.66,0.59,1803,Standing
32,0.49,-0.66,0.55,1844,Standing
33,0.49,-0.66,0.55,1884,Standing
34,0.48,-0.65,0.53,1925,Standing
35,0.49,-0.66,0.53,1965,Standing
36,0.49,-0.65,0.52,2007,Standing
37,0.48,-0.65,0.53,2048,Standing
38,0.46,-0.65,0.51,2089,Standing
39,0.49,-0.66,0.52,2129,Standing
40,0.5,-0.66,0.52,2170,Standing
41,0.51,-0.68,0.52,2210,Standing
42,0.52,-0.7,0.53,2251,Standing
43,0.54,-0.73,0.55,2291,Standing
44,0.52,-0.74,0.54,2331,Standing
45,0.5,-0.75,0.54,2372,Standing
46,0.48,-0.75,0.53,2412,Standing
47,0.48,-0.74,0.52,2453,Standing
48,0.51,-0.75,0.48,2493,Standing
49,0.51,-0.73,0.46,2534,Standing
50,0.52,-0.75,0.48,2574,Standing
51,0.52,-0.79,0.46,2614,Standing
52,0.51,-0.8,0.46,2655,Standing
53,0.47,-0.8,0.45,2695,Standing
54,0.47,-0.8,0.43,2735,Standing
55,0.45,-0.78,0.4,2776,Standing
56,0.43,-0.78,0.39,2816,Standing
57,0.43,-0.76,0.39,2857,Standing
58,0.43,-0.74,0.37,2899,Standing
59,0.45,-0.76,0.39,2940,Standing
60,0.46,-0.79,0.41,2980,Standing
61,0.46,-0.81,0.42,3020,Standing
62,0.45,-0.82,0.44,3061,Standing
63,0.45,-0.8,0.43,3101,Standing
64,0.44,-0.79,0.42,3141,Standing
65,0.44,-0.79,0.42,3182,Standing
66,0.43,-0.79,0.41,3222,Standing
67,0.43,-0.8,0.41,3262,Standing
68,0.44,-0.8,0.4,3304,Standing
69,0.46,-0.8,0.41,3345,Standing
70,0.48,-0.79,0.41,3385,Standing
71,0.51,-0.79,0.41,3427,Standing
72,0.5,-0.8,0.39,3468,Standing
73,0.51,-0.81,0.39,3508,Standing
74,0.52,-0.83,0.38,3550,Standing
75,0.48,-0.82,0.37,3591,Standing
76,0.45,-0.82,0.35,3631,Standing
77,0.45,-0.8,0.35,3672,Standing
78,0.43,-0.8,0.35,3712,Standing
79,0.43,-0.8,0.37,3752,Standing
80,0.41,-0.82,0.38,3792,Standing
81,0.38,-0.82,0.38,3832,Standing
82,0.38,-0.82,0.37,3873,Standing
83,0.41,-0.82,0.37,3913,Standing
84,0.47,-0.84,0.37,3954,Standing
85,0.38,-0.87,0.32,3994,Standing
86,0.43,-0.89,0.33,4035,Standing
87,0.39,-0.88,0.34,4075,Standing
88,0.4,-0.87,0.33,4116,Standing
89,0.39,-0.86,0.34,4156,Standing
90,0.38,-0.86,0.33,4197,Standing
91,0.38,-0.86,0.32,4237,Standing
92,0.39,-0.87,0.33,4278,Standing
93,0.39,-0.88,0.32,4318,Standing
94,0.39,-0.88,0.32,4359,Standing
95,0.38,-0.88,0.31,4399,Standing
96,0.38,-0.88,0.3,4441,Standing
97,0.38,-0.87,0.3,4482,Standing
98,0.39,-0.87,0.29,4524,Standing
99,0.38,-0.88,0.29,4566,Standing
100,0.4,-0.88,0.27,4606,Standing
101,0.39,-0.88,0.29,4646,Standing
102,0.38,-0.89,0.36,4687,Standing
103,0.36,-0.89,0.36,4727,Standing
104,0.35,-0.88,0.33,4768,Standing
105,0.35,-0.88,0.27,4808,Standing
106,0.36,-0.88,0.25,4849,Standing
107,0.37,-0.88,0.26,4889,Standing
108,0.37,-0.89,0.29,4930,Standing
109,0.37,-0.89,0.29,4970,Standing
110,0.37,-0.89,0.29,5010,Standing
111,0.37,-0.89,0.27,5051,Standing
112,0.37,-0.88,0.25,5091,Standing
113,0.37,-0.89,0.26,5132,Standing
114,0.37,-0.89,0.26,5172,Standing
115,0.36,-0.89,0.27,5213,Standing
116,0.36,-0.89,0.27,5255,Standing
117,0.36,-0.89,0.26,5296,Standing
118,0.37,-0.89,0.26,5336,Standing
119,0.37,-0.9,0.26,5378,Standing
120,0.37,-0.89,0.26,5419,Standing
121,0.37,-0.89,0.26,5460,Standing
122,0.36,-0.89,0.26,5500,Standing
123,0.36,-0.89,0.26,5541,Standing
124,0.37,-0.89,0.26,5581,Standing
125,0.37,-0.89,0.26,5622,Standing
126,0.37,-0.89,0.25,5662,Standing
127,0.37,-0.9,0.26,5703,Standing
128,0.36,-0.89,0.25,5743,Standing
129,0.36,-0.89,0.26,5784,Standing
130,0.37,-0.89,0.26,5824,Standing
131,0.37,-0.89,0.25,5865,Standing
132,0.37,-0.9,0.25,5905,Standing
133,0.37,-0.89,0.26,5946,Standing
134,0.37,-0.89,0.25,5986,Standing
135,0.36,-0.89,0.25,6027,Standing
136,0.37,-0.89,0.25,6067,Standing
137,0.37,-0.89,0.25,6108,Standing
138,0.37,-0.89,0.25,6148,Standing
139,0.37,-0.89,0.25,6189,Standing
140,0.37,-0.89,0.25,6231,Standing
141,0.37,-0.89,0.26,6272,Standing
142,0.37,-0.89,0.25,6313,Standing
143,0.37,-0.89,0.26,6354,Standing
144,0.37,-0.89,0.26,6394,Standing
145,0.37,-0.89,0.25,6435,Standing
146,0.37,-0.89,0.25,6475,Standing
147,0.37,-0.89,0.25,6516,Standing
148,0.37,-0.89,0.26,6556,Standing
149,0.37,-0.89,0.26,6597,Standing
150,0.37,-0.89,0.25,6637,Standing
151,0.37,-0.89,0.26,6678,Standing
152,0.37,-0.89,0.26,6718,Standing
153,0.37,-0.89,0.26,6760,Standing
154,0.37,-0.89,0.25,6801,Standing
155,0.36,-0.89,0.25,6841,Standing
156,0.37,-0.89,0.25,6882,Standing
157,0.37,-0.89,0.26,6922,Standing
158,0.37,-0.89,0.26,6963,Standing
159,0.37,-0.89,0.26,7003,Standing
160,0.37,-0.9,0.26,7044,Standing
161,0.37,-0.89,0.25,7084,Standing
162,0.38,-0.89,0.26,7124,Standing
163,0.36,-0.89,0.26,7165,Standing
