,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.99,-0.23,-0.34,559,Standing
2,0.95,-0.11,-0.38,599,Standing
3,0.96,-0.09,-0.34,641,Standing
4,0.87,-0.11,-0.45,681,Standing
5,0.84,-0.2,-0.46,721,Standing
6,0.9,-0.1,-0.48,761,Standing
7,0.86,-0.14,-0.51,801,Standing
8,0.93,-0.15,-0.52,842,Standing
9,0.86,-0.11,-0.54,882,Standing
10,0.88,-0.13,-0.47,922,Standing
11,0.91,-0.12,-0.47,962,Standing
12,0.89,-0.16,-0.46,1002,Standing
13,0.88,-0.13,-0.46,1043,Standing
14,0.87,-0.13,-0.48,1083,Standing
15,0.89,-0.16,-0.48,1124,Standing
16,0.87,-0.13,-0.47,1165,Standing
17,0.88,-0.14,-0.48,1205,Standing
18,0.91,-0.11,-0.45,1246,Standing
19,0.58,-0.03,-0.7,1286,Standing
20,0.93,-0.12,-0.47,1327,Standing
21,0.87,-0.14,-0.46,1368,Standing
22,0.9,-0.14,-0.44,1408,Standing
23,0.89,-0.15,-0.47,1449,Standing
24,0.9,-0.13,-0.44,1490,Standing
25,0.89,-0.13,-0.46,1531,Standing
26,0.91,-0.11,-0.45,1572,Standing
27,0.92,-0.12,-0.46,1612,Standing
28,0.89,-0.15,-0.45,1653,Standing
29,0.93,-0.11,-0.47,1694,Standing
30,0.9,-0.14,-0.45,1734,Standing
31,0.93,-0.15,-0.44,1775,Standing
32,0.89,-0.16,-0.42,1816,Standing
33,0.88,-0.18,-0.43,1857,Standing
34,0.84,-0.18,-0.45,1897,Standing
35,0.83,-0.18,-0.5,1938,Standing
36,0.84,-0.21,-0.41,1979,Standing
37,0.86,-0.18,-0.52,2020,Standing
38,0.87,-0.16,-0.49,2060,Standing
39,0.85,-0.16,-0.51,2101,Standing
40,0.81,-0.12,-0.55,2142,Standing
41,0.84,-0.12,-0.55,2183,Standing
42,0.85,-0.13,-0.52,2223,Standing
43,0.89,-0.15,-0.41,2264,Standing
44,1.06,-0.11,-0.56,2305,Standing
45,0.9,-0.13,-0.43,2345,Standing
46,0.88,-0.18,-0.39,2385,Standing
47,0.95,-0.2,-0.52,2426,Standing
48,0.93,-0.2,-0.51,2467,Standing
49,0.86,-0.18,-0.45,2508,Standing
50,0.86,-0.21,-0.49,2548,Standing
51,0.89,-0.2,-0.54,2589,Standing
52,0.86,-0.22,-0.52,2630,Standing
53,0.9,-0.26,-0.49,2671,Standing
54,0.91,-0.25,-0.47,2711,Standing
55,0.86,-0.25,-0.51,2752,Standing
56,0.84,-0.25,-0.52,2793,Standing
57,0.84,-0.24,-0.52,2833,Standing
58,0.86,-0.25,-0.45,2874,Standing
59,0.84,-0.24,-0.42,2915,Standing
60,0.92,-0.25,-0.43,2955,Standing
61,0.88,-0.24,-0.41,2996,Standing
62,0.89,-0.25,-0.36,3037,Standing
63,0.89,-0.27,-0.34,3077,Standing
64,0.88,-0.3,-0.31,3118,Standing
65,0.86,-0.34,-0.24,3159,Standing
66,0.77,-0.35,-0.14,3201,Standing
67,0.73,-0.38,-0.09,3241,Standing
68,0.67,-0.41,-0.08,3281,Standing
69,0.74,-0.47,-0.12,3322,Standing
70,0.77,-0.55,-0.14,3363,Standing
71,0.62,-0.64,-0.04,3403,Standing
72,0.71,-0.76,0.05,3444,Standing
73,0.71,-0.9,0.06,3484,Standing
74,0.7,-0.89,0.06,3525,Standing
75,0.65,-0.92,0.04,3565,Standing
76,0.53,-0.96,0.07,3605,Standing
77,0.44,-1.01,0.1,3646,Standing
78,0.36,-1.05,0.13,3686,Standing
79,0.3,-1.08,0.12,3726,Standing
80,0.27,-1.06,0.08,3767,Standing
81,0.29,-1.04,0.1,3807,Standing
82,0.31,-1.04,0.1,3847,Standing
83,0.3,-1.0,0.09,3888,Standing
84,0.28,-0.99,0.09,3928,Standing
85,0.31,-0.98,0.11,3968,Standing
86,0.33,-0.97,0.12,4011,Standing
87,0.36,-0.96,0.12,4052,Standing
88,0.36,-0.95,0.13,4092,Standing
89,0.36,-0.94,0.14,4132,Standing
90,0.33,-0.92,0.15,4173,Standing
91,0.32,-0.91,0.17,4213,Standing
92,0.29,-0.89,0.16,4253,Standing
93,0.29,-0.88,0.16,4293,Standing
94,0.27,-0.87,0.18,4334,Standing
95,0.27,-0.88,0.19,4374,Standing
96,0.32,-0.89,0.2,4414,Standing
97,0.35,-0.89,0.2,4455,Standing
98,0.35,-0.9,0.2,4495,Standing
99,0.36,-0.89,0.2,4535,Standing
100,0.37,-0.89,0.19,4575,Standing
101,0.38,-0.89,0.18,4616,Standing
102,0.34,-0.89,0.18,4656,Standing
103,0.31,-0.89,0.16,4696,Standing
104,0.28,-0.88,0.15,4737,Standing
105,0.27,-0.9,0.11,4779,Standing
106,0.3,-0.93,0.09,4820,Standing
107,0.3,-0.95,0.06,4861,Standing
108,0.32,-0.96,0.05,4901,Standing
109,0.32,-0.98,0.04,4941,Standing
110,0.29,-0.99,0.02,4981,Standing
111,0.27,-0.98,0.03,5022,Standing
112,0.27,-1.0,0.05,5062,Standing
113,0.26,-1.01,0.05,5102,Standing
114,0.24,-1.0,0.05,5142,Standing
115,0.2,-1.02,0.12,5183,Standing
116,0.13,-0.97,-0.01,5223,Standing
117,0.25,-0.96,0.02,5264,Standing
118,0.28,-0.97,0.04,5304,Standing
119,0.27,-0.93,-0.02,5344,Standing
120,0.23,-0.95,0.04,5385,Standing
121,0.22,-0.95,0.0,5425,Standing
122,0.25,-0.96,0.02,5466,Standing
123,0.24,-0.96,0.03,5506,Standing
124,0.24,-0.96,0.03,5548,Standing
125,0.25,-0.96,0.04,5588,Standing
126,0.24,-0.96,0.03,5628,Standing
127,0.23,-0.95,0.03,5668,Standing
128,0.23,-0.96,0.03,5709,Standing
129,0.23,-0.95,0.03,5749,Standing
130,0.24,-0.96,0.02,5789,Standing
131,0.23,-0.95,0.03,5830,Standing
132,0.23,-0.96,0.03,5870,Standing
133,0.23,-0.96,0.04,5910,Standing
134,0.22,-0.96,0.04,5951,Standing
135,0.22,-0.97,0.04,5991,Standing
136,0.22,-0.96,0.04,6031,Standing
137,0.22,-0.96,0.05,6071,Standing
138,0.21,-0.95,0.05,6112,Standing
139,0.21,-0.95,0.05,6152,Standing
140,0.21,-0.95,0.05,6192,Standing
141,0.23,-0.96,0.04,6233,Standing
142,0.21,-0.96,0.04,6273,Standing
143,0.22,-0.96,0.04,6315,Standing
144,0.23,-0.96,0.04,6355,Standing
145,0.23,-0.96,0.04,6395,Standing
146,0.23,-0.96,0.04,6435,Standing
147,0.23,-0.96,0.03,6476,Standing
148,0.23,-0.96,0.03,6516,Standing
149,0.23,-0.96,0.03,6556,Standing
150,0.23,-0.97,0.04,6597,Standing
151,0.23,-0.97,0.04,6637,Standing
152,0.21,-0.97,0.04,6677,Standing
153,0.21,-0.97,0.04,6718,Standing
154,0.21,-0.96,0.04,6758,Standing
155,0.21,-0.97,0.03,6798,Standing
156,0.2,-0.96,0.04,6839,Standing
157,0.22,-0.96,0.04,6879,Standing
158,0.21,-0.96,0.04,6919,Standing
159,0.21,-0.96,0.04,6960,Standing
160,0.22,-0.96,0.04,7000,Standing
161,0.22,-0.96,0.04,7040,Standing
162,0.23,-0.97,0.04,7081,Standing
163,0.23,-0.96,0.04,7122,Standing
164,0.22,-0.96,0.04,7162,Standing
165,0.22,-0.96,0.04,7202,Standing
166,0.22,-0.96,0.04,7243,Standing
167,0.22,-0.96,0.04,7283,Standing
168,0.21,-0.96,0.03,7323,Standing
169,0.22,-0.96,0.04,7363,Standing
170,0.21,-0.96,0.04,7404,Standing
171,0.21,-0.96,0.03,7444,Standing
172,0.22,-0.96,0.03,7484,Standing
173,0.22,-0.96,0.04,7524,Standing
174,0.22,-0.97,0.04,7564,Standing
175,0.22,-0.96,0.04,7605,Standing
176,0.22,-0.96,0.04,7645,Standing
177,0.23,-0.96,0.04,7685,Standing
178,0.23,-0.96,0.04,7725,Standing
179,0.22,-0.97,0.04,7766,Standing
180,0.22,-0.97,0.04,7808,Standing
