,x,y,z,t,activity
0,0.0,0.0,0.0,519,Standing
1,0.49,-0.73,-0.37,559,Standing
2,0.51,-0.8,-0.39,599,Standing
3,0.49,-0.81,-0.42,641,Standing
4,0.5,-0.73,-0.37,681,Standing
5,0.46,-0.72,-0.32,722,Standing
6,0.48,-0.8,-0.33,763,Standing
7,0.51,-0.79,-0.41,803,Standing
8,0.58,-0.73,-0.38,844,Standing
9,0.58,-0.7,-0.46,885,Standing
10,0.5,-0.72,-0.41,926,Standing
11,0.52,-0.76,-0.43,966,Standing
12,0.53,-0.75,-0.48,1007,Standing
13,0.52,-0.72,-0.49,1049,Standing
14,0.57,-0.78,-0.48,1090,Standing
15,0.45,-0.76,-0.59,1130,Standing
16,0.62,-0.74,-0.39,1172,Standing
17,0.45,-0.68,-0.53,1213,Standing
18,0.66,-0.7,-0.27,1253,Standing
19,0.56,-0.6,-0.43,1294,Standing
20,0.75,-0.69,-0.29,1334,Standing
21,0.71,-0.59,-0.22,1374,Standing
22,0.71,-0.66,-0.3,1415,Standing
23,0.79,-0.61,-0.16,1455,Standing
24,0.73,-0.62,-0.25,1495,Standing
25,0.77,-0.58,-0.2,1536,Standing
26,0.75,-0.61,-0.25,1577,Standing
27,0.69,-0.58,-0.21,1617,Standing
28,0.73,-0.57,-0.25,1657,Standing
29,0.76,-0.57,-0.26,1698,Standing
30,0.75,-0.59,-0.26,1738,Standing
31,0.75,-0.58,-0.28,1778,Standing
32,0.75,-0.59,-0.3,1820,Standing
33,0.77,-0.59,-0.3,1861,Standing
34,0.75,-0.58,-0.27,1901,Standing
35,0.77,-0.57,-0.29,1941,Standing
36,0.75,-0.57,-0.27,1981,Standing
37,0.74,-0.57,-0.28,2022,Standing
38,0.74,-0.56,-0.28,2062,Standing
39,0.75,-0.56,-0.28,2102,Standing
40,0.75,-0.55,-0.26,2142,Standing
41,0.77,-0.56,-0.25,2183,Standing
42,0.76,-0.56,-0.26,2223,Standing
43,0.76,-0.56,-0.26,2265,Standing
44,0.77,-0.55,-0.25,2306,Standing
45,0.78,-0.55,-0.25,2348,Standing
46,0.0,0.0,0.0,520,Standing
