,x,y,z,t,activity
0,0.0,0.0,0.0,520,Standing
1,0.27,-0.92,0.29,560,Standing
2,0.27,-0.93,0.29,601,Standing
3,0.3,-0.92,0.27,642,Standing
4,0.32,-0.91,0.27,683,Standing
5,0.27,-0.89,0.29,723,Standing
6,0.27,-0.89,0.29,764,Standing
7,0.26,-0.91,0.31,805,Standing
8,0.22,-0.92,0.3,846,Standing
9,0.25,-0.93,0.28,887,Standing
10,0.2,-0.95,0.29,928,Standing
11,0.19,-1.04,0.27,969,Standing
12,0.22,-0.96,0.32,1010,Standing
13,0.2,-0.87,0.31,1050,Standing
14,0.18,-0.86,0.32,1091,Standing
15,0.16,-0.88,0.31,1131,Standing
16,0.12,-0.91,0.29,1172,Standing
17,0.14,-0.91,0.27,1212,Standing
18,0.17,-0.91,0.25,1253,Standing
19,0.18,-0.91,0.27,1293,Standing
20,0.18,-0.92,0.28,1334,Standing
21,0.17,-0.93,0.31,1375,Standing
22,0.21,-0.93,0.31,1415,Standing
23,0.21,-0.94,0.32,1456,Standing
24,0.16,-0.93,0.32,1497,Standing
25,0.18,-0.94,0.3,1537,Standing
26,0.18,-0.93,0.29,1577,Standing
27,0.19,-0.93,0.29,1617,Standing
28,0.17,-0.93,0.28,1658,Standing
29,0.18,-0.91,0.29,1700,Standing
30,0.18,-0.91,0.27,1741,Standing
31,0.18,-0.93,0.26,1783,Standing
32,0.18,-0.93,0.26,1824,Standing
33,0.2,-0.93,0.25,1865,Standing
34,0.21,-0.93,0.28,1907,Standing
35,0.19,-0.92,0.28,1948,Standing
36,0.2,-0.93,0.29,1989,Standing
37,0.21,-0.92,0.29,2029,Standing
38,0.21,-0.93,0.29,2070,Standing
39,0.21,-0.93,0.28,2111,Standing
40,0.21,-0.93,0.27,2151,Standing
41,0.2,-0.93,0.28,2192,Standing
42,0.21,-0.93,0.26,2232,Standing
43,0.21,-0.93,0.27,2273,Standing
44,0.23,-0.93,0.25,2313,Standing
45,0.21,-0.93,0.25,2354,Standing
46,0.21,-0.93,0.26,2395,Standing
47,0.21,-0.93,0.27,2435,Standing
48,0.21,-0.92,0.27,2476,Standing
49,0.21,-0.92,0.25,2518,Standing
50,0.2,-0.91,0.27,2558,Standing
51,0.23,-0.92,0.26,2598,Standing
52,0.23,-0.92,0.26,2639,Standing
53,0.23,-0.93,0.28,2679,Standing
54,0.2,-0.93,0.28,2720,Standing
55,0.21,-0.93,0.28,2762,Standing
56,0.22,-0.92,0.28,2803,Standing
57,0.2,-0.92,0.27,2845,Standing
58,0.21,-0.93,0.29,2886,Standing
59,0.22,-0.93,0.28,2927,Standing
60,0.22,-0.93,0.28,2967,Standing
61,0.23,-0.92,0.27,3008,Standing
62,0.23,-0.91,0.25,3048,Standing
63,0.23,-0.92,0.24,3089,Standing
64,0.22,-0.92,0.25,3129,Standing
65,0.22,-0.94,0.25,3170,Standing
66,0.22,-0.93,0.25,3210,Standing
67,0.2,-0.93,0.25,3251,Standing
68,0.22,-0.93,0.25,3292,Standing
